item	filename	source_url	bytes	sha256
Uncommon Studded Leather Vest	Uncommon_Studded_Leather_Vest.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/410cba11-7c21-4c08-9efa-2aa26d033f88.png	1474912	0fd50d003c94e322101cc879ea8c52d64a1eb95fb8b41365d8d16ba5060b8ab2
Rare Warden's Mail	Rare_Wardens_Mail.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/005c8f5c-3126-45bf-82f7-567bec3036ae.png	1719531	925e425f44dc72398c45c06d4d9f445779d03418882c42424edd519940dc3dd4
Epic Ashguard Plate	Epic_Ashguard_Plate.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/abedf0e5-f5d2-42fe-b7e9-1fba8a4250b4.png	1544505	7876dd526675a541abcfe656989257eff8ca40b3321f2e6bc5eb64eabb90f2ae
Uncommon Woven Robe	Uncommon_Woven_Robe.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/09f60b8e-0351-4a0f-97f7-5a587e3637d5.png	1525507	c697fa5faf8b0d64b99db3c5c2492be58280bb5c136155d34f53c0661d3f048d
Rare Sanctum Vestments	Rare_Sanctum_Vestments.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/3d4e3af9-d0fa-4774-9b7e-087a204c1c08.png	1446135	4007270191ab88d76be06a0658d96ee0907d8c72bf46095d040f98e70eecb0a4
Uncommon Silver Band	Uncommon_Silver_Band.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/975b430f-7231-4ebb-8671-154d20aa6673.png	1270016	8fc64743a937020b61f9b28cdc9db6861025eec4a9bda63e92edc28d54ae5e98
Rare Warden's Signet	Rare_Wardens_Signet.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/94aa801d-1038-4c5d-99ea-fefd9fcbbd21.png	1456429	c255842cd18fbf532cad28fde50f8d29e55e2b1d4a7d4a867920a65bbfc6e3e1
Uncommon Traveler's Charm	Uncommon_Travelers_Charm.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/80d554ee-e319-45fe-a03d-286163e53276.png	1411325	15ca7935c38cd0dd49407ba895fdc10f2fb4fa5319dba3303e282d66c2f62d9f
Rare Cartographer's Compass	Rare_Cartographers_Compass.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/5aece879-afa7-492c-b9ed-ddba188f666d.png	1479986	da7b049ba92acdc72c5d7a1162ca50eea2eb1a7d7c9b40064f3d6a7f6332ab5d
Greater Health Potion	Greater_Health_Potion.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/77899c0c-b675-4478-90db-5617a0145129.png	1496440	22a41321824d00b3056a6953e87d33440b737ab9e011b32d9d2a15a629236bab
Mana Draught	Mana_Draught.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/66a72845-72a8-4eeb-8c5f-63816ddae0d0.png	1463390	4d1eed5a724553155b75ff1db5017fb885fe8fcbd9f173560da8e6dd7fadb841
Stamina Tonic	Stamina_Tonic.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/6cc28060-d4d0-42eb-b7e0-eb2575aef81b.png	1347549	483810ab015c6f7690a8a64047366b510f6bf6404828f079ee0fc2e226e80666
Antidote	Antidote.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/bbe3c53c-1ede-41b4-a0b1-febded7dc962.png	1391560	c46002a527ad7829832c278c543d8d530e847f8c4bb5b17d79ae72060c7cd4eb
Cleansing Draught	Cleansing_Draught.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/9e9ebf27-c962-4ede-b50e-88ae5c30dcd5.png	1710080	5d8e5d542bb906e06d09b11e1b54b83e502b6857e2fabdfdd8eeff669cc82248
Smoke Bomb	Smoke_Bomb.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/e2a6cf2a-3434-49f8-94c9-9ba7aee91c99.png	1399431	404daf8192c4923f4df9d6e332c52027cfdc776ba859a73a759f24e101fc9de7
Alchemist's Firebomb	Alchemists_Firebomb.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/f13b9f17-5366-4575-beeb-7be600d445bb.png	1602269	0204a0f396b4cc2f2b9c4a4361413e78eade086639df013db1145c920623cc99
Blessed Ward Charm	Blessed_Ward_Charm.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/99b141a1-2bb7-4a82-a54e-355c2c816ead.png	1542270	f3b76515a9795ca6b985199815fb0f6632c3545a4ca7c79866fff35fbdd4be5e
Witchlight Oil	Witchlight_Oil.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/7dade12d-e862-4f57-a3a9-71226ac8157c.png	1332997	7bf440a102c64201d84b33283d36ee334bc595f002d762cc4b8e520eafb1c83d
Reviving Salts	Reviving_Salts.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/7aedda4b-7eb4-4481-9ad4-c08ad4f09bc1.png	1660881	4739ff95706486332d3b3fac6fea682c293e40db8add067dd01d977d0c4b04d4
Adventurer's Remains	Adventurers_Remains.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/80ecbb68-6266-42f7-a8de-95071d910e65.png	1668776	cee7bfcd6d215fecd0e01c1319a122cf7493e5ce561960b798b0cf941b772999
Legendary Adventurer's Remains	Legendary_Adventurers_Remains.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/7e1f8364-cdb6-4ba9-a22b-634b0e18a36a.png	1735998	d3ab082499dc6907486febaaee632de6f9997e22cca3defcea2c1c85faf14aa1
Rare Ebonsteel Longsword	Rare_Ebonsteel_Longsword.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/fa950331-cbe2-41ab-a28e-6c4b2451c1de.png	1330693	770e54f6390b137f9e8bbff88b65a7f3a58e200cc2f5066d12c0f30df7012fe3
Rare Ebonsteel Katana	Rare_Ebonsteel_Katana.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/2f7d2592-75e6-4492-9d30-227c1932e620.png	1297240	635f1e9d57fd3b01f7f332962fe23b74fb50bf3b8e35a84b9ba9f7526b261cfb
Epic Ebonsteel Greatsword	Epic_Ebonsteel_Greatsword.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/cf384957-b1e2-40c7-b0d7-bd7976205528.png	1198925	8757b3da5ea3c57e7f82cf5b2edcca1c4eba02fc459d6dab13f78ebeb65f484f
Rare Ebonsteel Dagger	Rare_Ebonsteel_Dagger.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/a18908dd-bf68-4ced-91cb-74fea9576b0b.png	1196546	8e6a3d3ec0afda6228b66831c6e83d21e596b35d067fbe4a1bb04274734927b6
Rare Ebonsteel Cuirass	Rare_Ebonsteel_Cuirass.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/cea8b3a2-a50e-4102-99d9-bf1ebbd86af8.png	1555294	0cfc06fe680b00b96d669f0c384a2ac046dfdf59c9091ebf21337dc37619689a
Epic Ebonsteel Harness	Epic_Ebonsteel_Harness.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/4cce04ec-5231-4a01-a736-820e8175ee1b.png	1487007	1167c4d334bbac8593acc91e17b78d5b5c5fb0edab74d0cff65bb93a86492ae7
Rare Ebonsteel Helm	Rare_Ebonsteel_Helm.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/e221ec04-ee9a-4f2a-8351-483522da12c3.png	1376789	3ba26156f3b43f4edad9d2d017c722ff45f9bf14e8dfd72294a06c535276af39
Rare Ebonsteel Gauntlets	Rare_Ebonsteel_Gauntlets.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/6b0ec766-c814-4d0d-a330-c66278147c17.png	1632067	0da4c077a53ef7cea84e8c30a307ccc037635862a5bcbd160f4baf6de6c2ad7f
Rare Ebonsteel Greaves	Rare_Ebonsteel_Greaves.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/c7c7a9ac-614f-4d58-888b-3e9414990df3.png	1462154	e0b9e63bf6ff8998cf99c1ed67284d29168d05b35c983ad001729d6384919a16
Rare Ebonsteel Sabatons	Rare_Ebonsteel_Sabatons.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/44a95f66-6f1a-4bc5-bab2-44815fac2076.png	1461058	71d02a745895643bb8b1da77bc29a3c2ac315dcb3aefed62a120b6a84e0548fb
Epic Ebonsteel Tower Shield	Epic_Ebonsteel_Tower_Shield.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/d874d313-7fdc-4fbe-bbf2-8cd69220d41b.png	1350071	1e036ce20fb3f1a4adbe9114f65d120b94239abda42bde030dc7c6f7fa8e971d
Rare Sentinel's Signet	Rare_Sentinels_Signet.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/f8b2e854-36b4-420c-a101-37926cedd2b2.png	1547783	5c544632f8e2a25919e98514ca92f8175b1d096607f83ca3617cdefc1d0f768f
Uncommon Fur-Lined Coat	Uncommon_Fur_Lined_Coat.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/d92e5ecf-9ea4-47d6-99d0-b87079c2676a.png	1421602	f6ac2572a9ede8e2409c13b6f57ebe5429810a5fd58e8ab150d9a1a29a00d10b
Rare Rimeward Mantle	Rare_Rimeward_Mantle.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/e58b26a4-91f2-4a1e-9610-2c7f8a7d3a10.png	1684179	3d324573eddf97b95e5fbacaa9e9244f736e3e5594a1df7c038420969af4718f
Uncommon Fur Hood	Uncommon_Fur_Hood.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/54008962-5ea6-4c4c-b038-ab4b53f58bb7.png	1461999	cea78b619e8128113ea7fa2aae21ede3b2057c4138bb0c7380c4427dca38dc9e
Uncommon Fur-Lined Gloves	Uncommon_Fur_Lined_Gloves.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/66ffe953-f72c-4c02-8d9e-dec2938ee9e9.png	1426307	f89fb22224df9ff8ce1c6a19dd0cb8168a5289ddf7afd71c616429957563b7ed
Uncommon Iron Cleats	Uncommon_Iron_Cleats.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/2143badb-76cf-422b-bb32-a93895fecd48.png	1453952	e0eb7144ddcecf08a5547a2ca242bb97bf53dd012aa007b5cdfe1babdb2d19fe
Uncommon Layered Leggings	Uncommon_Layered_Leggings.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/5edd59e8-4b88-47e4-9d25-d4c06fe94a69.png	1336256	b502034b9a32056b17005aaa75ba233a38bb1ade3d99effe550216b8d536b250
Rare Traveler's Ember Charm	Rare_Travelers_Ember_Charm.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/50aa01ea-9c9c-42dd-9fd5-95fb579757ea.png	1257471	956d08cecc4d3745d7bed8b7f8b1121e7d53fff6a066a60ca10896136cd53c69
Warming Draught	Warming_Draught.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/d51167d6-2661-4467-aa84-ca1fb9da6066.png	1305532	a714dbf9f4ba34289c51bc641d6885ef6ff55482b2af7420600a5ee86c2ed756
Lamp Oil Flask	Lamp_Oil_Flask.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/e4f3bb8e-32f1-4a37-a19d-869810387f41.png	1411776	f6c46c1e2e889b67b71e5acf3e37d4a740a366e27a5a3fd04246d07fa2090ac1
Climbing Rope and Pitons	Climbing_Rope_and_Pitons.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/047d1f2d-824d-4121-b56f-9a1f29a18d89.png	1694838	382f67e645cac0d2ed40073038c5aea917d37032ab205f3598d31ea41ba68796
Tide Timer	Tide_Timer.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/5967067e-38ed-44ec-91ee-2c91ba0509a4.png	1514914	3f2b79dc6cdddfe2569fd275db0c30b71d96c7f35ccb298f89d0e723c9d5ff62
Thief's Picks	Thiefs_Picks.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/7ddfd52c-d21f-4a86-bd34-96a0880f27b1.png	1691164	2af2e67a0c17aab680794f719bf515074fa88f14648bfead8d0a3fe9fb1359fa
Rare Trapwright's Kit	Rare_Trapwrights_Kit.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/9d31d594-ca0d-4133-b17f-8231af2f3328.png	1575457	11df9e527010667dc6262dff2cfb7dde37f1005030ea1918568caf32fb4add0e
Probing Rod	Probing_Rod.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/ca76b73f-3495-4822-8821-73eead680020.png	1284047	f847e21a07992feee7963965fc6efa99a858def9e56cda92ed2c611a8ac870af
Uncommon Warded Gloves	Uncommon_Warded_Gloves.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/47a8c5d9-f69c-47d2-bd28-ad3f12a9de69.png	1508333	f70f629a2be41ceffa318f223832791443340cb69dc8b78ca1788b4bfdd41d7f
Antitoxin Vial	Antitoxin_Vial.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/f46a992c-4457-4c4d-bee4-2e2945d8c750.png	1245521	bd5c46547d00fb57728d315095bf03bab251236f17e19e20b993510b1b3d13a3
Waking Salts	Waking_Salts.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/23c567b9-41e6-45fa-88f2-8ab96d30422e.png	1369216	1f0b27fe396da314723b2ddfd3d0060c86a008e35068ed5ccac72ac4de8213cf
Curse-Breaking Candle	Curse_Breaking_Candle.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/e8708d66-0c2b-4b99-99da-39ff2b35250c.png	1521218	768cd94301bf8fc44accfc0fdf91812bd9805369fc5eed0effde948890abdd71
Epic Aegis of the Unbroken Line	Epic_Aegis_of_the_Unbroken_Line.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/7951a4fe-bb76-457e-9ee7-2ebee13931fd.png	1638137	8881a1fbd412d491900661003a9d182a7770d2cb72686ba807fbce5b17077f27
Epic Fortune's Wanderlust Coat	Epic_Fortunes_Wanderlust_Coat.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/6778d5bb-9ab3-4b24-91ad-d6a6c912d6b4.png	1488068	57767cd86474198e4d251805381c7577428c62511206d4fda0d9e36691e107ba
Epic Sakura-Cut Nodachi	Epic_Sakura_Cut_Nodachi.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/8d1b7949-441e-4b8d-a132-99d8019f717c.png	1220466	8625d943ad008524544206b8b77ffac1d53c7f0a41c17bdec831faee50e8d826
Epic Vestment of the Unbroken Faith	Epic_Vestment_of_the_Unbroken_Faith.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/863d81aa-0fde-4907-8248-98b7e3653a3d.png	1650054	a7ae9ded6f81f86fcb6b022f18d3cb50712eff3f9060525cea368440cda508d5
Epic Void-Step Kunai	Epic_Void_Step_Kunai.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/fe771056-ec2f-46e8-b362-77fcad5e5a31.png	1400496	f0fb10b0106da9975638040fa547bfb7bdb46aca1e16746c41c622cebf4f0fe6
Rare Arcanist's Tome	Rare_Arcanists_Tome.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/bf6f8dc5-f1a3-4f21-8d85-101c4d9c9cd5.png	1855786	4509eda68b49f36f1539a8a58fddeebaafb6499a55e3f726002842ec5d41c959
Rare Bastion Shield	Rare_Bastion_Shield.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/93ccaf90-8284-47b0-85e8-d3b781a10eae.png	1726594	6d706a230f4b16304308c3ff5cb29d633d1a600e089169cb33f169d8a321ae3f
Rare Blessed Censer	Rare_Blessed_Censer.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/13e3a701-f89a-4a00-ac84-4d24a76d36d2.png	1579984	81107080b9db498bbd316be8fd6b8fda563a0dfde0aa319aff3009c6561cca4c
Rare Bushido-Bound Katana	Rare_Bushido_Bound_Katana.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/47284c36-4dab-4e73-8cf0-8aa2999977a5.png	1367439	eedd64bce41ade9c40170da40fcbfeacb46aa88b8b6ad889e1dbc971e09b7caa
Rare Field Medic's Kit	Rare_Field_Medics_Kit.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/4538b695-0892-4e8c-9bda-4037af7c49ef.png	1727000	714ffe0a8e2d6fc898b82cbca5e5223d0582828365d14be7638423133e85bd99
Rare Nightveil Kunai	Rare_Nightveil_Kunai.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/5c7b9bcc-8533-4f45-901b-8015e89ab071.png	1336798	fb9955d978bd7cbf33cb7faa99280266a04c4ee20c005b00c2c4ef55130ae84f
Rare Oathsworn Plate	Rare_Oathsworn_Plate.png	https://latitude-standard-pull-zone-1.b-cdn.net/generated_content/0/images/item_images/caaf14a4-dc16-4a79-89ab-c483f76cbed9.png	1587456	b9e2240ccbeb1d7a232e7a78cba9d650f5fbca141d05ad3be3dd367bbf3341ca
